prefix	base
rdf	http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs	http://www.w3.org/2000/01/rdf-schema#
xsd	http://www.w3.org/2001/XMLSchema#
owl	http://www.w3.org/2002/07/owl#
oio	http://www.geneontology.org/formats/oboInOwl#
BFO	http://purl.obolibrary.org/obo/BFO_
NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_
OBI	http://purl.obolibrary.org/obo/OBI_
PR	http://purl.obolibrary.org/obo/PR_
uniprot	http://www.uniprot.org/uniprot/
uniprot-protein	http://www.uniprot.org/annotation/PRO_
ONTIE	https://ontology.iedb.org/ontology/ONTIE_
iedb	http://iedb.org/
iedb-protein	http://iedb.org/taxon-protein/
CoVIC	https://cvdb.ontodev.com/antibody/
ds	https://cvdb.ontodev.com/dataset/
org	https://cvdb.ontodev.com/organization/
user	https://cvdb.ontodev.com/user/
